symbol	price	open	high	low	change	close	time	state
^SPGSIN	582.746	575.9601	585.3697	574.2174	0.011781659	575.9602	31-03-2026 20:49:02	POST
^SPGSPM	6259.712	6074.685	6280.186	6006.464	0.030458674	6074.685	31-03-2026 20:49:02	POST
CL=F	101.49	105.07	106.86	99.62	-0.013510880000000001	102.88	31-03-2026 21:55:10	REGULAR
^VIX	25.25	29.53	29.64	25.08	-0.17510618	30.61	31-03-2026 21:15:01	POSTPOST
^GSPC	6528.52	6395.88	6539.05	6395.88	0.029131140000000003	6343.72	31-03-2026 21:42:48	POST
SPY	650.34	638.94	651.53	637.98	0.0290679	631.97	31-03-2026 21:00:02	POST
SCHD	30.68	30.7	30.81	30.4411	0.0065617	30.48	31-03-2026 21:00:00	POST
EUDV.PA	28.02	27.95	28.155	27.9	0.006646358	27.835	31-03-2026 16:35:17	POSTPOST
^RUA	3717.5554	3636.3123	3723.4075	3636.3123	0.029441468999999998	3611.2354	31-03-2026 21:30:13	POST
VUSA.MI	105.71	105.57	106.06	105.4	9.462758999999999e-05	105.7	31-03-2026 16:23:22	POSTPOST
VGK	82.43	81.3	82.47	80.78	0.0320521	79.87	31-03-2026 21:00:00	POST
VEUR.MI	45.1	45.29	45.35	45.1	0.006022677400000001	44.83	31-03-2026 16:35:27	POSTPOST
MCHI	56.18	55.0	56.25	54.925	0.022383976	54.95	31-03-2026 21:00:03	POST
FXC.MI	87.83	87.5	88.11	87.35	-0.003743215	88.16	31-03-2026 16:29:00	POSTPOST
EEM	56.79	54.935	56.86	54.88	0.0372603	54.75	31-03-2026 21:00:00	POST
VFEM.MI	63.68	63.4	63.65	63.22	0.00094312124	63.62	31-03-2026 14:26:05	POSTPOST
EWJ	84.44	82.45	84.485	82.17	0.0358195	81.52	31-03-2026 21:00:00	POST
VJPN.MI	39.26	39.17	39.19	39.035	-0.0044377595	39.435	31-03-2026 11:59:50	POSTPOST
PHAU.MI	372.03	369.17	372.45	367.59	0.0097437745	368.44	31-03-2026 16:35:16	POSTPOST
AGG	99.27	99.28	99.475	99.1801	0.0023222499999999997	99.04	31-03-2026 21:00:00	POST
VECP.MI	47.715	47.64	47.7	47.64	0.0025212505000000002	47.595	31-03-2026 14:09:19	POSTPOST
VETY.MI	21.95	21.88	21.945	21.88	0.0036579752	21.87	31-03-2026 15:01:31	POSTPOST
VUCP.MI	40.87	41.08	41.08	40.9	-0.004627434000000001	41.06	31-03-2026 15:56:51	POSTPOST
VEMT.MI	37.31	37.45	37.5	37.245	-0.0040042102	37.46	31-03-2026 16:24:15	POSTPOST
VUTY.MI	18.65	18.74	18.754	18.654	-0.006075481000000001	18.764	31-03-2026 16:35:28	POSTPOST
QQQH	51.2499	50.81	51.46	50.53	0.022952143999999997	50.1	31-03-2026 21:00:00	POST
